"","company","market","TSE_code","TSE_name","year","ETR","CETR","STR","HHI","STR_HHI","ROA","SIZE","LEV","INTANG","QUICK","EQINC","OUTINSTI","RELATIN","RELATOUT","FAM_Dum"
"3806","4111 濟生","OTC","M1722","生技醫療",2001,NA,NA,5,NA,NA,0.0367388196360389,13.6723685596306,0.349994403615841,0.00385862033552919,205.26,0,0,0,0,1
"3807","4114 健喬","OTC","M1722","生技醫療",2001,NA,NA,5,NA,NA,0.0293179621294336,13.6448823665113,0.35060577487591,0.127533550380425,197.77,0.00214793597703808,29.72,4,6,1
"3808","4116 明基醫","OTC","M1722","生技醫療",2001,NA,NA,5,NA,NA,0.0898950854675197,13.7278578844789,0.294636161291766,0,168.96,-0.00385883750200583,12.13,0,25,0
"3809","4119 旭富","TSE","M1722","生技醫療",2001,NA,NA,5,NA,NA,0.0514017729099565,13.5629407706212,0.419858599746139,0,36.87,0,0,0,10,0
"3810","4120 友華","OTC","M1722","生技醫療",2001,NA,NA,5,NA,NA,0.0377205840142368,14.082843228666,0.70096863698119,0.0163470407011232,77.28,-0.00181557243728353,59.35,72,3,1
"3811","4121 優盛","OTC","M1722","生技醫療",2001,NA,NA,5,NA,NA,0.284408855739107,13.2082970071663,0.332644480212602,0.00773399747094245,204.86,-8.25889620769839e-05,0,0,0,1
"3812","4123 晟德","OTC","M1722","生技醫療",2001,NA,NA,5,NA,NA,0.160182523323931,11.9015020955202,0.580569266652202,0.0100821761770449,108.74,0,0,0,0,1
"3813","4126 太醫","OTC","M1722","生技醫療",2001,NA,NA,5,NA,NA,0.0782765049666089,12.9530425437876,0.492927349870534,0.0177461805794101,75.96,0,0,25,8,1
"3814","4127 天良","OTC","M1722","生技醫療",2001,NA,NA,5,NA,NA,0.0917374912654176,13.5123005486945,0.622104045804421,0.0022357822664955,75.07,0,0,14,8,1
"3815","4128 中天","OTC","M1722","生技醫療",2001,NA,NA,5,NA,NA,-0.123918433829937,12.8624313526423,0.132399780055609,0.175869921567,726.85,0,49.96,6,0,1
"3816","4129 聯合","OTC","M1722","生技醫療",2001,NA,NA,5,NA,NA,0.002087024455574,12.7894189108785,0.353898522621057,0,98.82,0,0,0,0,0
"3817","4130 健亞","OTC","M1722","生技醫療",2001,NA,NA,5,NA,NA,-0.0778361576350054,13.3675329647615,0.243350096021561,0.00774746094575369,692.31,0,0,61,0,0
"3818","4131 晶宇","OTC","M1722","生技醫療",2001,NA,NA,5,NA,NA,-0.0944418647535976,13.0172183940733,0.0488252021948696,0.0766501443022282,1395.4715,0,16.19,0,0,1
"3819","4173 久裕","OTC","M1722","生技醫療",2001,NA,NA,5,NA,NA,0.0143927487502617,13.6303537857428,0.727759231937461,0,95.14,0,0,0,0,NA
"3820","4726 永昕","OTC","M1722","生技醫療",2001,NA,NA,5,NA,NA,-0.215604835719054,11.7023928064201,0.29214566491137,NA,0,NA,0,0,0,NA
"3821","4728 雙美","OTC","M1722","生技醫療",2001,NA,NA,5,NA,NA,-0.0822717072328673,11.7023928064201,0.0488252021948696,NA,0,NA,0,0,0,NA
"3822","4735 豪展","OTC","M1722","生技醫療",2001,NA,NA,5,NA,NA,0.0685316007088009,12.2625711194354,0.450636739515653,0.00824571766095688,98.69,0,0,33,1,1
"3823","6130 基因","OTC","M1722","生技醫療",2001,NA,NA,5,NA,NA,0.05004195551864,13.2836774813912,0.0758399188462828,0,890.7,-0.00412066168873941,20.07,0,1,0
"3824","6242 立康","OTC","M1722","生技醫療",2001,NA,NA,5,NA,NA,0.0689116513005388,13.5642157009204,0.535812227674973,0.0010452652569514,76.96,0,0,0,37,0
"3825","1565 精華","OTC","M1722","生技醫療",2002,NA,NA,17,0.0470089843830043,17,0.0970475075155533,13.4505542753441,0.246899069036497,0.0043098294938111,228.79,-0.000717344614945832,0,0,14,0
"3826","1701 中化","TSE","M1722","生技醫療",2002,NA,NA,17,0.0470089843830043,17,-0.0149434693706824,15.765520292225,0.553869418713639,0.00972305767905444,59.33,-0.00414483018047575,15.73,5,9,1
"3827","1707 葡萄王","TSE","M1722","生技醫療",2002,NA,NA,15,0.0470089843830043,15,0.0308188918198126,14.7213476403417,0.412867491618843,0.0325561579982555,67.51,0,0.54,0,0,1
"3828","1720 生達","TSE","M1722","生技醫療",2002,NA,NA,19,0.0470089843830043,19,0.0517066943941309,14.8633785243391,0.37409177065927,0.00608087138115386,310.68,-0.00188317643118779,10.69,10,8,1
"3829","1729 必翔","TSE","M1722","生技醫療",2002,NA,NA,16,0.0470089843830043,16,0.246829706427976,14.9293952934983,0.134464634102704,0.0463178503884716,195.71,0.00424730210306782,30.39,8,22,1
